"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station","pollution_ratio"
1,2013,3,1,0,4,4,14,20,300,69,-0.7,1023,-18.8,0,"NNW",4.4,"Guanyuan",1
2,2013,3,1,1,4,4,13,17,300,72,-1.1,1023.2,-18.2,0,"N",4.7,"Guanyuan",1
3,2013,3,1,2,3,3,10,19,300,69,-1.1,1023.5,-18.2,0,"NNW",5.6,"Guanyuan",1
4,2013,3,1,3,3,6,7,24,400,62,-1.4,1024.5,-19.4,0,"NW",3.1,"Guanyuan",0.5
5,2013,3,1,4,3,6,5,14,400,71,-2,1025.2,-19.5,0,"N",2,"Guanyuan",0.5
6,2013,3,1,5,3,6,6,14,400,71,-2.2,1025.6,-19.6,0,"N",3.7,"Guanyuan",0.5
7,2013,3,1,6,6,6,6,20,400,66,-2.6,1026.5,-19.1,0,"NNE",2.5,"Guanyuan",1
8,2013,3,1,7,3,3,7,26,400,61,-1.6,1027.4,-19.1,0,"NNW",3.8,"Guanyuan",1
9,2013,3,1,8,3,6,9,37,500,50,0.1,1028.3,-19.2,0,"NNW",4.1,"Guanyuan",0.5
10,2013,3,1,9,7,11,9,30,400,58,1.2,1028.5,-19.3,0,"N",2.6,"Guanyuan",0.636363636363636
11,2013,3,1,10,3,8,11,26,400,65,1.9,1028.2,-19.4,0,"NNW",3.6,"Guanyuan",0.375
12,2013,3,1,11,3,6,8,23,300,70,2.9,1028.2,-20.5,0,"N",3.7,"Guanyuan",0.5
13,2013,3,1,12,7,14,6,23,300,73,3.9,1027.3,-19.7,0,"NNW",5.1,"Guanyuan",0.5
14,2013,3,1,13,12,14,4,20,300,78,5.3,1026.2,-19.3,0,"NW",4.3,"Guanyuan",0.857142857142857
15,2013,3,1,14,14,16,4,21,300,79,6,1025.9,-19.6,0,"NW",4.4,"Guanyuan",0.875
16,2013,3,1,15,12,21,3,21,300,79,6.2,1025.7,-18.6,0,"NNE",2.8,"Guanyuan",0.571428571428571
17,2013,3,1,16,13,22,5,21,300,78,5.9,1025.6,-18.1,0,"NNW",3.9,"Guanyuan",0.590909090909091
18,2013,3,1,17,9,28,6,27,400,70,4.3,1026.3,-18.7,0,"NNE",2.8,"Guanyuan",0.321428571428571
19,2013,3,1,18,10,21,8,35,500,61,3.1,1027.4,-18.4,0,"NNE",2.1,"Guanyuan",0.476190476190476
20,2013,3,1,19,13,17,3,43,500,52,2.3,1028.3,-18.4,0,"N",2.8,"Guanyuan",0.764705882352941
21,2013,3,1,20,12,14,14,41,500,52,1.7,1029.1,-17.3,0,"N",2.1,"Guanyuan",0.857142857142857
22,2013,3,1,21,11,14,24,51,500,42,0.6,1030.1,-16.7,0,"ENE",0.8,"Guanyuan",0.785714285714286
23,2013,3,1,22,10,15,11,60,600,31,0.9,1030.5,-17.4,0,"ENE",1.8,"Guanyuan",0.666666666666667
24,2013,3,1,23,13,15,11,51,600,37,-0.2,1030.5,-17.4,0,"ENE",1.4,"Guanyuan",0.866666666666667
25,2013,3,2,0,6,15,16,44,500,46,-0.4,1031,-17.6,0,"ENE",1.4,"Guanyuan",0.4
26,2013,3,2,1,3,8,14,33,400,57,-1,1031.3,-17.3,0,"NNE",1.1,"Guanyuan",0.375
27,2013,3,2,2,4,6,8,26,400,62,-1.5,1030.9,-16.9,0,"E",1.7,"Guanyuan",0.666666666666667
28,2013,3,2,3,3,6,12,32,NA,79,-1.4,1030.6,-17.6,0,"NNE",1.4,"Guanyuan",0.5
29,2013,3,2,4,3,6,9,51,400,51,-1.5,1030.8,-17.7,0,"NNW",0.9,"Guanyuan",0.5
30,2013,3,2,5,3,6,15,59,500,32,-1.8,1030.1,-17.5,0,"NNE",2,"Guanyuan",0.5
31,2013,3,2,6,3,6,13,59,500,30,-2.5,1029.6,-17.7,0,"NW",0.7,"Guanyuan",0.5
32,2013,3,2,7,3,6,27,72,600,17,-1.7,1029.8,-17,0,"NE",1.2,"Guanyuan",0.5
33,2013,3,2,8,3,6,27,70,600,21,-0.4,1029.6,-17.6,0,"NE",1.8,"Guanyuan",0.5
34,2013,3,2,9,3,8,10,42,400,49,0.6,1029.7,-16.7,0,"NE",1.7,"Guanyuan",0.375
35,2013,3,2,10,3,6,14,48,500,44,1.7,1028.9,-16.3,0,"W",1.6,"Guanyuan",0.5
36,2013,3,2,11,3,11,17,62,700,32,2.2,1028.2,-16.8,0,"SSW",3.1,"Guanyuan",0.272727272727273
37,2013,3,2,12,14,18,18,68,800,30,2.7,1027.3,-16.4,0,"WSW",2.7,"Guanyuan",0.777777777777778
38,2013,3,2,13,21,25,15,51,600,47,3.3,1025.7,-16.4,0,"W",1.5,"Guanyuan",0.84
39,2013,3,2,14,28,32,16,45,700,54,3.8,1024.8,-16,0,"SE",1.3,"Guanyuan",0.875
40,2013,3,2,15,31,32,25,48,900,53,3.9,1024.1,-16.5,0,"WNW",1.2,"Guanyuan",0.96875
41,2013,3,2,16,33,46,42,60,1200,44,3.5,1023.6,-15.2,0,"WSW",2.5,"Guanyuan",0.717391304347826
42,2013,3,2,17,45,62,47,66,1100,38,2.2,1023.4,-13.6,0,"SSE",0.4,"Guanyuan",0.725806451612903
43,2013,3,2,18,52,71,52,72,1100,31,1.2,1023.2,-12.3,0,"W",0.9,"Guanyuan",0.732394366197183
44,2013,3,2,19,58,83,56,88,1200,16,1.5,1022.9,-13.8,0,"NE",1.2,"Guanyuan",0.698795180722892
45,2013,3,2,20,67,90,57,100,1399,5,1.2,1022.9,-14.1,0,"NNE",1.2,"Guanyuan",0.744444444444444
46,2013,3,2,21,79,98,57,106,1700,2,0.6,1022.6,-14.2,0,"NE",1.3,"Guanyuan",0.806122448979592
47,2013,3,2,22,86,102,51,108,1899,2,-0.6,1022.3,-13.9,0,"NNE",1.4,"Guanyuan",0.843137254901961
48,2013,3,2,23,79,88,50,104,1700,2,-0.8,1021.1,-13.4,0,"N",1.3,"Guanyuan",0.897727272727273
49,2013,3,3,0,77,93,69,106,1899,2,-1.4,1020.4,-13,0,"NNE",1.2,"Guanyuan",0.827956989247312
50,2013,3,3,1,93,104,92,106,2399,2,-2,1019.4,-13.2,0,"NE",1.2,"Guanyuan",0.894230769230769
51,2013,3,3,2,103,113,122,106,3200,2,-2.8,1018.3,-12.3,0,"NE",1.4,"Guanyuan",0.911504424778761
52,2013,3,3,3,113,126,131,105,2600,2,-2.6,1017.2,-13.2,0,"NE",1.2,"Guanyuan",0.896825396825397
53,2013,3,3,4,98,104,116,100,2200,2,-4.3,1016.9,-11.8,0,"NNE",0.9,"Guanyuan",0.942307692307692
54,2013,3,3,5,86,95,80,96,2399,2,-5.6,1016.3,-10.9,0,"N",0.8,"Guanyuan",0.905263157894737
55,2013,3,3,6,83,94,62,97,2600,2,-5.8,1016.2,-11,0,"NNE",0.8,"Guanyuan",0.882978723404255
56,2013,3,3,7,82,100,75,100,2500,2,-3.1,1016.5,-11.1,0,"NE",1.5,"Guanyuan",0.82
57,2013,3,3,8,79,102,78,98,2600,2,0.7,1016.2,-13,0,"NNE",2.3,"Guanyuan",0.774509803921569
58,2013,3,3,9,82,115,131,102,2700,3,3.5,1015.8,-13.8,0,"NNE",0.4,"Guanyuan",0.71304347826087
59,2013,3,3,10,90,124,161,104,2500,7,6.5,1014.9,-13.2,0,"N",1.3,"Guanyuan",0.725806451612903
60,2013,3,3,11,98,123,130,111,2600,10,11.4,1013.8,-10.8,0,"ESE",0.9,"Guanyuan",0.796747967479675
61,2013,3,3,12,104,143,90,116,2500,15,13.8,1012.5,-13.3,0,"W",1.1,"Guanyuan",0.727272727272727
62,2013,3,3,13,92,133,42,87,1500,32,16,1011.5,-13.5,0,"W",5.9,"Guanyuan",0.691729323308271
63,2013,3,3,14,74,102,19,52,900,58,16.7,1010.8,-14,0,"WNW",4.3,"Guanyuan",0.725490196078431
64,2013,3,3,15,47,109,6,24,400,78,16.9,1010.5,-12.7,0,"WNW",2,"Guanyuan",0.431192660550459
65,2013,3,3,16,22,88,22,54,800,67,16.4,1010.6,-15.4,0,"NW",2.9,"Guanyuan",0.25
66,2013,3,3,17,52,121,34,79,1100,52,13.1,1011.1,-10.1,0,"WSW",1.7,"Guanyuan",0.429752066115702
67,2013,3,3,18,65,135,42,99,1399,35,8.7,1012.3,-11.3,0,"NW",1.6,"Guanyuan",0.481481481481481
68,2013,3,3,19,92,187,67,146,2100,6,12.2,1013.4,-13.7,0,"NNW",2,"Guanyuan",0.491978609625668
69,2013,3,3,20,138,234,60,144,2399,2,11.7,1013.5,-12.6,0,"N",0.9,"Guanyuan",0.58974358974359
70,2013,3,3,21,143,216,14,95,1300,8,5.3,1013.6,-10.9,0,"N",0,"Guanyuan",0.662037037037037
71,2013,3,3,22,13,47,9,93,1100,3,3.1,1014.1,-10.2,0,"NNE",1.8,"Guanyuan",0.276595744680851
72,2013,3,3,23,30,50,9,95,1500,2,5.2,1014.8,-10.6,0,"NNW",1.7,"Guanyuan",0.6
73,2013,3,4,0,28,48,22,94,1700,2,7.7,1015.7,-11.1,0,"N",2.6,"Guanyuan",0.583333333333333
74,2013,3,4,1,35,50,41,79,1100,11,8.2,1016.7,-11.7,0,"N",2.8,"Guanyuan",0.7
75,2013,3,4,2,26,50,15,31,500,53,8.1,1016.7,-11.8,0,"N",4.3,"Guanyuan",0.52
76,2013,3,4,3,8,28,6,26,400,61,7.2,1016.9,-11.6,0,"N",2.8,"Guanyuan",0.285714285714286
